,product_titles,ratings,descriptions,variants,prices
2,400g Cosma Dry Cat Food - Special Price! *new,Not Rated,"Now when you buy 400g Cosma Dry Cat Food, The tried and tested Cosma treat, a 100% grain-free recipe with delicious, fresh meat, You'll get it for a special price!",Duck & Chicken Dry Food (400g),£4.19
2,400g Cosma Dry Cat Food - Special Price! *new,Not Rated,"Now when you buy 400g Cosma Dry Cat Food, The tried and tested Cosma treat, a 100% grain-free recipe with delicious, fresh meat, You'll get it for a special price!",Lamb & Chicken Dry Food (400g),£4.19
2,400g Cosma Dry Cat Food - Special Price! *new,Not Rated,"Now when you buy 400g Cosma Dry Cat Food, The tried and tested Cosma treat, a 100% grain-free recipe with delicious, fresh meat, You'll get it for a special price!",Turkey & Chicken Dry Food (400g),£4.29
2,400g Cosma Dry Cat Food - Special Price! *new,Not Rated,"Now when you buy 400g Cosma Dry Cat Food, The tried and tested Cosma treat, a 100% grain-free recipe with delicious, fresh meat, You'll get it for a special price!",Tuna & Chicken Dry Food (400g),£4.19
3,James Wellbeloved Grain Free Adult Cat Hypoallergenic Turkey​​​​​​​,Rating: 4/5,"Hypo-allergenic, complete dry cat food with all-natural ingredients. Enriched with vital vitamins and minerals, it is grain free and with one source of animal protein. Made in UK.",1.5kg,£15.99
3,James Wellbeloved Grain Free Adult Cat Hypoallergenic Turkey​​​​​​​,Rating: 4/5,"Hypo-allergenic, complete dry cat food with all-natural ingredients. Enriched with vital vitamins and minerals, it is grain free and with one source of animal protein. Made in UK.",4kg,£35.29
3,James Wellbeloved Grain Free Adult Cat Hypoallergenic Turkey​​​​​​​,Rating: 4/5,"Hypo-allergenic, complete dry cat food with all-natural ingredients. Enriched with vital vitamins and minerals, it is grain free and with one source of animal protein. Made in UK.",10kg,£69.19
3,James Wellbeloved Grain Free Adult Cat Hypoallergenic Turkey​​​​​​​,Rating: 4/5,"Hypo-allergenic, complete dry cat food with all-natural ingredients. Enriched with vital vitamins and minerals, it is grain free and with one source of animal protein. Made in UK.",Economy Pack: 2 x 10kg,£136.49
4,James Wellbeloved Senior 7+ Cat Hypoallergenic  - Fish,Rating: 4/5,"James Wellbeloved Senior Fish Hypoallergenic Cat Food is a wholesome, tasty food with natural ingredients, for cats over the age of 7 years.",1.5kg,£11.79
4,James Wellbeloved Senior 7+ Cat Hypoallergenic  - Fish,Rating: 4/5,"James Wellbeloved Senior Fish Hypoallergenic Cat Food is a wholesome, tasty food with natural ingredients, for cats over the age of 7 years.",4kg,£29.99
4,James Wellbeloved Senior 7+ Cat Hypoallergenic  - Fish,Rating: 4/5,"James Wellbeloved Senior Fish Hypoallergenic Cat Food is a wholesome, tasty food with natural ingredients, for cats over the age of 7 years.",Economy Pack: 2 x 4kg,£58.39
5,Hill's Science Plan Adult Light Chicken,Rating: 5/5,"A dry food offering complete, balanced nutrition for less active cats or those prone to weight gain, with all essential nutrients and a reduced calorie content combined with L-carnitine and taurine.",3kg,£24.39
5,Hill's Science Plan Adult Light Chicken,Rating: 5/5,"A dry food offering complete, balanced nutrition for less active cats or those prone to weight gain, with all essential nutrients and a reduced calorie content combined with L-carnitine and taurine.",10kg,£57.09
5,Hill's Science Plan Adult Light Chicken,Rating: 5/5,"A dry food offering complete, balanced nutrition for less active cats or those prone to weight gain, with all essential nutrients and a reduced calorie content combined with L-carnitine and taurine.",Economy Pack: 2 x 10kg,£112.49
5,Hill's Science Plan Adult Light Chicken,Rating: 5/5,"A dry food offering complete, balanced nutrition for less active cats or those prone to weight gain, with all essential nutrients and a reduced calorie content combined with L-carnitine and taurine.",Complementary: 12x85g Adult Light Chicken & Fish Selection,£9.99
6,James Wellbeloved Adult Cat Hypoallergenic Turkey & Rice,Rating: 4/5,"Balanced dry food for adult cats, with turkey as the sole source of animal protein in a tailored recipe enriched with beneficial fibre and omega fatty acids, free from artificial additives.",4kg,£33.49
6,James Wellbeloved Adult Cat Hypoallergenic Turkey & Rice,Rating: 4/5,"Balanced dry food for adult cats, with turkey as the sole source of animal protein in a tailored recipe enriched with beneficial fibre and omega fatty acids, free from artificial additives.",10kg,£69.19
6,James Wellbeloved Adult Cat Hypoallergenic Turkey & Rice,Rating: 4/5,"Balanced dry food for adult cats, with turkey as the sole source of animal protein in a tailored recipe enriched with beneficial fibre and omega fatty acids, free from artificial additives.",Economy Pack: 2 x 10kg,£136.49
6,James Wellbeloved Adult Cat Hypoallergenic Turkey & Rice,Rating: 4/5,"Balanced dry food for adult cats, with turkey as the sole source of animal protein in a tailored recipe enriched with beneficial fibre and omega fatty acids, free from artificial additives.",Complementary: Adult Cat Turkey Pouches (12 x 85g),£10.99
7,James Wellbeloved Senior Cat Hypoallergenic Turkey & Rice,Rating: 4/5,James Wellbeloved Senior Cat Hypoallergenic is formulated to meet the protein and energy requirements of the adult cat of seven years and older.,4kg,£33.79
7,James Wellbeloved Senior Cat Hypoallergenic Turkey & Rice,Rating: 4/5,James Wellbeloved Senior Cat Hypoallergenic is formulated to meet the protein and energy requirements of the adult cat of seven years and older.,10kg,£69.99
7,James Wellbeloved Senior Cat Hypoallergenic Turkey & Rice,Rating: 4/5,James Wellbeloved Senior Cat Hypoallergenic is formulated to meet the protein and energy requirements of the adult cat of seven years and older.,Economy Pack: 2 x 10kg,£134.49
8,Lily's Kitchen Chicken Casserole Dry Cat Food,Rating: 4/5,"A balanced, grain-free dry cat food with high meat content, fresh fruit and vegetables for irresistible flavour and healthy digestion!",2kg,£20.59
8,Lily's Kitchen Chicken Casserole Dry Cat Food,Rating: 4/5,"A balanced, grain-free dry cat food with high meat content, fresh fruit and vegetables for irresistible flavour and healthy digestion!",Economy Pack: 2 x 2kg,£39.69
9,James Wellbeloved Adult Cat Light Hypoallergenic Turkey & Rice,Rating: 5/5,Hypoallergenic kibble for adult cats that are overweight or prone to weight gain. Turkey is the only animal protein in this wheat and soya-free tasty complete dry cat food. Made in UK.,1.5kg,£16.89
9,James Wellbeloved Adult Cat Light Hypoallergenic Turkey & Rice,Rating: 5/5,Hypoallergenic kibble for adult cats that are overweight or prone to weight gain. Turkey is the only animal protein in this wheat and soya-free tasty complete dry cat food. Made in UK.,4kg,£34.69
9,James Wellbeloved Adult Cat Light Hypoallergenic Turkey & Rice,Rating: 5/5,Hypoallergenic kibble for adult cats that are overweight or prone to weight gain. Turkey is the only animal protein in this wheat and soya-free tasty complete dry cat food. Made in UK.,Economy Pack: 2 x 4kg,£67.79
10,Hill's Science Plan Senior 11+ Chicken,Rating: 4/5,"Complete dry food for senior cats over the age of 11 years, well accepted and with a balanced mineral content to help support kidneys and bladder, with omega fatty acids and vitamin E.",3kg,£26.39
10,Hill's Science Plan Senior 11+ Chicken,Rating: 4/5,"Complete dry food for senior cats over the age of 11 years, well accepted and with a balanced mineral content to help support kidneys and bladder, with omega fatty acids and vitamin E.",7kg,£44.69
10,Hill's Science Plan Senior 11+ Chicken,Rating: 4/5,"Complete dry food for senior cats over the age of 11 years, well accepted and with a balanced mineral content to help support kidneys and bladder, with omega fatty acids and vitamin E.",Economy Pack: 2 x 7kg,£85.79
10,Hill's Science Plan Senior 11+ Chicken,Rating: 4/5,"Complete dry food for senior cats over the age of 11 years, well accepted and with a balanced mineral content to help support kidneys and bladder, with omega fatty acids and vitamin E.",Complementary: 12 x 85g Mature 7+ Adult Fish Selection,£10.99
11,James Wellbeloved Adult Cat Hairball Hypoallergenic Turkey & Rice,Rating: 5/5,A naturally healthy and hypo-allergenic cat food formulated for those cats prone to hairball problems. It contains only natural ingredients and a single source of protein - Turkey.,1.5kg,£15.99
11,James Wellbeloved Adult Cat Hairball Hypoallergenic Turkey & Rice,Rating: 5/5,A naturally healthy and hypo-allergenic cat food formulated for those cats prone to hairball problems. It contains only natural ingredients and a single source of protein - Turkey.,4kg,£39.39
11,James Wellbeloved Adult Cat Hairball Hypoallergenic Turkey & Rice,Rating: 5/5,A naturally healthy and hypo-allergenic cat food formulated for those cats prone to hairball problems. It contains only natural ingredients and a single source of protein - Turkey.,Economy Pack: 2 x 4kg,£77.19
12,James Wellbeloved Adult Cat Oral Health Hypoallergenic Turkey & Rice,Rating: 5/5,"Dry food for adult cats, special kibble shape to support dental care, turkey as a single animal protein source, enriched with plant extracts and omega fatty acids",4kg,£39.99
12,James Wellbeloved Adult Cat Oral Health Hypoallergenic Turkey & Rice,Rating: 5/5,"Dry food for adult cats, special kibble shape to support dental care, turkey as a single animal protein source, enriched with plant extracts and omega fatty acids",10kg,£73.29
12,James Wellbeloved Adult Cat Oral Health Hypoallergenic Turkey & Rice,Rating: 5/5,"Dry food for adult cats, special kibble shape to support dental care, turkey as a single animal protein source, enriched with plant extracts and omega fatty acids",Economy Pack: 2 x 10kg,£140.49
13,James Wellbeloved Senior 7+ Cat Hypoallergenic - Chicken,Rating: 5/5,Hypoallergenic dry food for older cats. This tasty mono-protein food with digestible chicken and selected ingredients is suitable for pets with nutritional sensitivities. Free from artificial additives.,1.5kg,£11.79
13,James Wellbeloved Senior 7+ Cat Hypoallergenic - Chicken,Rating: 5/5,Hypoallergenic dry food for older cats. This tasty mono-protein food with digestible chicken and selected ingredients is suitable for pets with nutritional sensitivities. Free from artificial additives.,Economy Pack: 3 x 1.5kg,£33.89
14,Perfect Fit Senior 7+ Rich in Chicken,Rating: 5/5,"High quality complete dry food for senior cats, with unique Total 5 Formula to address the most common health needs of ageing cats.",750g,£3.99
14,Perfect Fit Senior 7+ Rich in Chicken,Rating: 5/5,"High quality complete dry food for senior cats, with unique Total 5 Formula to address the most common health needs of ageing cats.",7kg,£25.39
14,Perfect Fit Senior 7+ Rich in Chicken,Rating: 5/5,"High quality complete dry food for senior cats, with unique Total 5 Formula to address the most common health needs of ageing cats.",Economy Pack: 2 x 7kg,£49.29
15,Hill's Science Plan Mature Adult Tuna,Rating: 4/5,"Complete dry food for senior cats over the age of 7 years, with tuna and highly digestible ingredients with fibres, vitamin E, omega fatty acids and minerals, recommended by veterinarians.",1.5kg,£15.99
15,Hill's Science Plan Mature Adult Tuna,Rating: 4/5,"Complete dry food for senior cats over the age of 7 years, with tuna and highly digestible ingredients with fibres, vitamin E, omega fatty acids and minerals, recommended by veterinarians.",10kg,£58.09
15,Hill's Science Plan Mature Adult Tuna,Rating: 4/5,"Complete dry food for senior cats over the age of 7 years, with tuna and highly digestible ingredients with fibres, vitamin E, omega fatty acids and minerals, recommended by veterinarians.",Economy Pack: 2 x 10kg,£114.49
15,Hill's Science Plan Mature Adult Tuna,Rating: 4/5,"Complete dry food for senior cats over the age of 7 years, with tuna and highly digestible ingredients with fibres, vitamin E, omega fatty acids and minerals, recommended by veterinarians.",Complementary: 12 x 85g Mature Adult Fish Selection,£10.99
16,Whiskas 1+ Chicken,Rating: 4/5,"Delicious and complete dry food for adult cats from 12 months, with a meaty filling, delicious chicken taste, with tasty crackers, supports dental care, for a healthy urinary tract.",1.9kg,£7.69
16,Whiskas 1+ Chicken,Rating: 4/5,"Delicious and complete dry food for adult cats from 12 months, with a meaty filling, delicious chicken taste, with tasty crackers, supports dental care, for a healthy urinary tract.",3.8kg,£14.79
16,Whiskas 1+ Chicken,Rating: 4/5,"Delicious and complete dry food for adult cats from 12 months, with a meaty filling, delicious chicken taste, with tasty crackers, supports dental care, for a healthy urinary tract.",7kg,£23.09
16,Whiskas 1+ Chicken,Rating: 4/5,"Delicious and complete dry food for adult cats from 12 months, with a meaty filling, delicious chicken taste, with tasty crackers, supports dental care, for a healthy urinary tract.",Economy Pack: 2 x 7kg,£44.69
16,Whiskas 1+ Chicken,Rating: 4/5,"Delicious and complete dry food for adult cats from 12 months, with a meaty filling, delicious chicken taste, with tasty crackers, supports dental care, for a healthy urinary tract.",800g,£3.39
17,James Wellbeloved Adult Cat Hypoallergenic Light - Fish,Rating: 5/5,"A hypo-allergenic, complete dry cat food for less active cats, formulated for effect weight control of adult 1 years +. It contains only a single source of protein - Fish.",1.5kg,£15.99
17,James Wellbeloved Adult Cat Hypoallergenic Light - Fish,Rating: 5/5,"A hypo-allergenic, complete dry cat food for less active cats, formulated for effect weight control of adult 1 years +. It contains only a single source of protein - Fish.",4kg,£36.99
17,James Wellbeloved Adult Cat Hypoallergenic Light - Fish,Rating: 5/5,"A hypo-allergenic, complete dry cat food for less active cats, formulated for effect weight control of adult 1 years +. It contains only a single source of protein - Fish.",Economy Pack: 2 x 4kg,£72.39
18,Sanabelle Sensitive with Poultry,Rating: 4/5,"Gluten-free dry food for nutritionally sensitive cats over the age of 1 year, gentle on the digestive tract and containing 25% fresh poultry. It has a high nutrient density for optimum digestibility.",2kg,£11.19
18,Sanabelle Sensitive with Poultry,Rating: 4/5,"Gluten-free dry food for nutritionally sensitive cats over the age of 1 year, gentle on the digestive tract and containing 25% fresh poultry. It has a high nutrient density for optimum digestibility.",10kg,£35.49
18,Sanabelle Sensitive with Poultry,Rating: 4/5,"Gluten-free dry food for nutritionally sensitive cats over the age of 1 year, gentle on the digestive tract and containing 25% fresh poultry. It has a high nutrient density for optimum digestibility.",Economy Pack: 2 x 10kg,£69.39
19,3 x 400g Wild Freedom Dry Cat/Kitten Food - 2 + 1 Free! *,Rating: 5/5,"Now when you buy 3 x 400g bags of selected grain-free, premium Wild Freedom dry cat food, available in a variety of tasty and nutritious flavours, you'll only pay for 2 - That's 1 bag free!",Adult Wide Country - Poultry (3 x 400g),£7.59
19,3 x 400g Wild Freedom Dry Cat/Kitten Food - 2 + 1 Free! *,Rating: 5/5,"Now when you buy 3 x 400g bags of selected grain-free, premium Wild Freedom dry cat food, available in a variety of tasty and nutritious flavours, you'll only pay for 2 - That's 1 bag free!",Adult Cold River - Salmon (3 x 400g),£7.59
19,3 x 400g Wild Freedom Dry Cat/Kitten Food - 2 + 1 Free! *,Rating: 5/5,"Now when you buy 3 x 400g bags of selected grain-free, premium Wild Freedom dry cat food, available in a variety of tasty and nutritious flavours, you'll only pay for 2 - That's 1 bag free!",Adult Green Lands - Lamb (3 x 400g),£7.59
19,3 x 400g Wild Freedom Dry Cat/Kitten Food - 2 + 1 Free! *,Rating: 5/5,"Now when you buy 3 x 400g bags of selected grain-free, premium Wild Freedom dry cat food, available in a variety of tasty and nutritious flavours, you'll only pay for 2 - That's 1 bag free!",Adult Wild Hills - Duck (3 x 400g),£7.59
19,3 x 400g Wild Freedom Dry Cat/Kitten Food - 2 + 1 Free! *,Rating: 5/5,"Now when you buy 3 x 400g bags of selected grain-free, premium Wild Freedom dry cat food, available in a variety of tasty and nutritious flavours, you'll only pay for 2 - That's 1 bag free!",Adult Farmlands - Beef (3 x 400g),£7.59
20,James Wellbeloved Adult Cat Hypoallergenic - Chicken,Rating: 5/5,"Hypoallergenic, mono-protein dry food for adult cats. This tasty food is made with highly digestible chicken & selected ingredients. With natural prebiotics to aid digestion. No artificial additives.",1.5kg,£11.79
20,James Wellbeloved Adult Cat Hypoallergenic - Chicken,Rating: 5/5,"Hypoallergenic, mono-protein dry food for adult cats. This tasty food is made with highly digestible chicken & selected ingredients. With natural prebiotics to aid digestion. No artificial additives.",4kg,£34.89
20,James Wellbeloved Adult Cat Hypoallergenic - Chicken,Rating: 5/5,"Hypoallergenic, mono-protein dry food for adult cats. This tasty food is made with highly digestible chicken & selected ingredients. With natural prebiotics to aid digestion. No artificial additives.",Economy Pack: 2 x 4kg,£68.19
21,Hill's Science Plan Adult Perfect Weight Chicken,Rating: 4/5,"Special dry food designed for adult cats that are overweight, helping to promote weight loss and a healthy weight maintenance with a clinically-proven recipe that is reduced in fat and calories.",2.5kg,£27.49
21,Hill's Science Plan Adult Perfect Weight Chicken,Rating: 4/5,"Special dry food designed for adult cats that are overweight, helping to promote weight loss and a healthy weight maintenance with a clinically-proven recipe that is reduced in fat and calories.",7kg,£57.19
21,Hill's Science Plan Adult Perfect Weight Chicken,Rating: 4/5,"Special dry food designed for adult cats that are overweight, helping to promote weight loss and a healthy weight maintenance with a clinically-proven recipe that is reduced in fat and calories.",Economy Pack: 2 x 7kg,£112.49
21,Hill's Science Plan Adult Perfect Weight Chicken,Rating: 4/5,"Special dry food designed for adult cats that are overweight, helping to promote weight loss and a healthy weight maintenance with a clinically-proven recipe that is reduced in fat and calories.",Complementary: 12x85g Adult Perfect Weight Chicken & Salmon,£11.09
22,CRAVE Adult Turkey & Chicken Dry Cat Food,Rating: 5/5,"A high-quality, grain-free dry food with turkey & chicken for adult cats. The natural, protein-rich recipe, with no artificial colour or preservatives, helps to support strong and healthy muscles.",750g,£7.69
22,CRAVE Adult Turkey & Chicken Dry Cat Food,Rating: 5/5,"A high-quality, grain-free dry food with turkey & chicken for adult cats. The natural, protein-rich recipe, with no artificial colour or preservatives, helps to support strong and healthy muscles.",Economy Pack: 4 x 750g,£29.29
22,CRAVE Adult Turkey & Chicken Dry Cat Food,Rating: 5/5,"A high-quality, grain-free dry food with turkey & chicken for adult cats. The natural, protein-rich recipe, with no artificial colour or preservatives, helps to support strong and healthy muscles.",7kg,£43.59
22,CRAVE Adult Turkey & Chicken Dry Cat Food,Rating: 5/5,"A high-quality, grain-free dry food with turkey & chicken for adult cats. The natural, protein-rich recipe, with no artificial colour or preservatives, helps to support strong and healthy muscles.",Economy Pack: 2 x 7kg,£85.49
23,Applaws Chicken & Salmon Cat Food,Rating: 3/5,"Dry food for adult cats, high content of top quality fish & meat, grain-free, lots of vegetables and natural extracts, with brewer's yeast, salmon oil and prebiotics",400g,£3.39
23,Applaws Chicken & Salmon Cat Food,Rating: 3/5,"Dry food for adult cats, high content of top quality fish & meat, grain-free, lots of vegetables and natural extracts, with brewer's yeast, salmon oil and prebiotics",2kg,£14.79
23,Applaws Chicken & Salmon Cat Food,Rating: 3/5,"Dry food for adult cats, high content of top quality fish & meat, grain-free, lots of vegetables and natural extracts, with brewer's yeast, salmon oil and prebiotics",7.5kg,£39.69
23,Applaws Chicken & Salmon Cat Food,Rating: 3/5,"Dry food for adult cats, high content of top quality fish & meat, grain-free, lots of vegetables and natural extracts, with brewer's yeast, salmon oil and prebiotics",Economy Pack: 2 x 7.5kg,£77.79
